MonitoringLocationIdentifier,lat,lon
21OHIO_WQX-K01P05,41.1317,-82.7097
21OHIO_WQX-301595,40.86464,-82.764055
21OHIO_WQX-303614,40.5169,-81.3051
21OHIO_WQX-W03K23,38.7814,-82.2736
21OHIO_WQX-X03W11,38.8561,-83.85
21OHIO_WQX-302520,39.310488,-82.32474
21OHIO_WQX-U02G20,40.785057,-82.773902
21OHIO_WQX-P11K33,41.4142,-83.8606
21OHIO_WQX-K01G31,41.3485,-82.5139
21OHIO_WQX-303500,38.730818,-82.492679
21OHIO_WQX-X02S05,38.8522,-83.91
21OHIO_WQX-K01S11,41.2267,-82.6517
21OHIO_WQX-303624,40.4296,-81.0262
21OHIO_WQX-W03K22,38.7283,-82.2611
21OHIO_WQX-303640,40.5636,-81.0549
21OHIO_WQX-303664,38.667722,-82.298179
21OHIO_WQX-303574,38.84712,-82.571408
21OHIO_WQX-303632,40.5192,-81.0622
21OHIO_WQX-F01W87,41.1686,-81.3467
21OHIO_WQX-303623,40.3578,-80.9751
21OHIO_WQX-501260,41.3819,-82.3169
21OHIO_WQX-303533,38.663588,-82.473258
21OHIO_WQX-301798,38.6743,-82.3775
21OHIO_WQX-W03S39,39.0467,-82.3453
21OHIO_WQX-W03W58,39.3572,-82.3825
21OHIO_WQX-303604,38.62914,-83.278377
21OHIO_WQX-609380,39.5631,-81.2039
21OHIO_WQX-500850,40.9228,-83.3489
21OHIO_WQX-303642,40.562035,-81.088367
21OHIO_WQX-303565,38.705649,-82.380344
21OHIO_WQX-303583,38.446214,-82.504166
21OHIO_WQX-K01G16,41.2869,-82.6435
21OHIO_WQX-200747,38.4958,-82.4881
21OHIO_WQX-303764,40.209983,-81.264995
21OHIO_WQX-601400,38.8736,-82.3561
21OHIO_WQX-303615,40.507327,-81.239637
21OHIO_WQX-W03K37,39.3919,-82.2497
21OHIO_WQX-501790,41.4694,-81.8317
21OHIO_WQX-200038,41.1461,-81.4625
21OHIO_WQX-R14P18,39.9881,-82.6703
21OHIO_WQX-500080,41.5,-83.7128
21OHIO_WQX-303571,38.80558,-82.546144
21OHIO_WQX-303026,39.31856,-81.64956
21OHIO_WQX-303543,40.5525,-81.1585
21OHIO_WQX-P11S09,41.5964,-84.0186
21OHIO_WQX-R10S11,40.2856,-81.6844
21OHIO_WQX-301579,39.336367,-82.273519
21OHIO_WQX-203947,39.2156,-82.4611
21OHIO_WQX-301204,40.192222,-83.080453
21OHIO_WQX-302399,39.473285,-81.466181
21OHIO_WQX-300595,40.59715,-81.36048
21OHIO_WQX-303749,40.994111,-80.571917
21OHIO_WQX-301852,40.085833,-83.062778
21OHIO_WQX-601340,39.6328,-82.9625
21OHIO_WQX-300158,38.8703,-82.4786
21OHIO_WQX-P03S03,40.9489,-84.2661
21OHIO_WQX-500330,41.677867,-84.231875
21OHIO_WQX-609360,39.6025,-81.1628
